WASHINGTON	NP	WASHINGTON
aimed	VVN	aim
at	IN	at
disrupting	VVG	disrupt
our	PP$	our
electoral	JJ	electoral
process	NN	process
on	IN	on
Election	NP	Election
Day	NP	Day
.	SENT	.
'	''	'
'	''	'
Mrs.	NP	Mrs.
Clinton	NP	Clinton
conceded	VVD	concede
the	DT	the
race	NN	race
to	TO	to
Mr.	NP	Mr.
Trump	NP	Trump
early	RB	early
on	IN	on
Nov.	NP	Nov.
9	CD	9
,	,	,
when	WRB	when
it	PP	it
becameclear	VVP	becameclear
that	IN/that	that
he	PP	he
would	MD	would
have	VH	have
a	DT	a
large	JJ	large
margin	NN	margin
of	IN	of
victory	NN	victory
in	IN	in
the	DT	the
Electoral	NP	Electoral
College	NP	College
.	SENT	.
Butas	NP	Butas
her	PP	her
lead	VVP	lead
in	IN	in
the	DT	the
popular	JJ	popular
vote	NN	vote
has	VHZ	have
grown	VVN	grow
--	:	--
it	PP	it
now	RB	now
exceeds	VVZ	exceed
two	CD	two
million	CD	million
votes	NNS	vote
--	:	--
her	PP$	her
base	NN	base
has	VHZ	have
increasingly	RB	increasingly
pressured	VVN	pressure
her	PP	her
to	TO	to
challenge	VV	challenge
the	DT	the
results	NNS	result
.	SENT	.
That	DT	that
has	VHZ	have
been	VBN	be
fueled	VVN	fuel
in	IN	in
part	NN	part
by	IN	by
how	WRB	how
aggressively	RB	aggressively
the	DT	the
Clinton	NP	Clinton
campaign	NN	campaign
spread	NN	spread
theword	NN	theword
of	IN	of
Russian	JJ	Russian
involvement	NN	involvement
in	IN	in
the	DT	the
theft	NN	theft
of	IN	of
emails	NNS	emails
from	IN	from
the	DT	the
Democratic	NP	Democratic
NationalCommittee	NP	NationalCommittee
and	CC	and
from	IN	from
the	DT	the
personal	JJ	personal
account	NN	account
of	IN	of
John	NP	John
D.	NP	D.
Podesta	NP	Podesta
,	,	,
the	DT	the
campaign'schairman	NN	campaign'schairman
.	SENT	.
The	DT	the
campaign	NN	campaign
also	RB	also
charged	VVD	charge
that	IN/that	that
the	DT	the
Russians	NPS	Russians
were	VBD	be
behind	RB	behind
fake	JJ	fake
newsabout	NN	newsabout
Mrs.	NP	Mrs.
Clinton	NP	Clinton
's	POS	's
health	NN	health
,	,	,
among	IN	among
other	JJ	other
stories	NNS	storey
--	:	--
a	DT	a
claim	NN	claim
supported	VVN	support
to	TO	to
someextent	NN	someextent
by	IN	by
recent	JJ	recent
studies	NNS	study
.	SENT	.
Some	DT	some
critics	NNS	critic
saw	VVD	see
those	DT	those
accusations	NNS	accusation
as	IN	as
an	DT	an
effort	NN	effort
to	TO	to
shift	VV	shift
the	DT	the
discussion	NN	discussion
frommistakes	VVZ	frommistakes
the	DT	the
Clinton	NP	Clinton
campaign	NN	campaign
had	VHD	have
made	VVN	make
in	IN	in
taking	VVG	take
on	IN	on
Mr.	NP	Mr.
Trump	NP	Trump
.	SENT	.
Mr.	NP	Mr.
Elias	NP	Elias
's	POS	's
post	NN	post
offered	VVD	offer
a	DT	a
revealing	JJ	revealing
look	NN	look
at	IN	at
how	WRB	how
much	JJ	much
time	NN	time
and	CC	and
energy	NN	energy
thecampaign	NNS	thecampaign
had	VHD	have
spent	VVN	spend
in	IN	in
the	DT	the
past	JJ	past
two	CD	two
weeks	NNS	week
looking	VVG	look
for	IN	for
evidence	NN	evidence
of	IN	of
Russian	JJ	Russian
hackingor	JJ	hackingor
other	JJ	other
irregularities	NNS	irregularity
,	,	,
and	CC	and
how	WRB	how
it	PP	it
had	VHD	have
tried	VVN	try
to	TO	to
keep	VV	keep
those	DT	those
efforts	NNS	effort
secret	NN	secret
.	SENT	.
'	''	'
'	''	'
Since	IN	since
the	DT	the
day	NN	day
after	IN	after
the	DT	the
election	NN	election
,	,	,
we	PP	we
have	VHP	have
had	VHD	have
lawyers	NNS	lawyer
and	CC	and
data	NNS	datum
scientists	NNS	scientist
andanalysts	NNS	andanalysts
combing	VVG	comb
over	IN	over
the	DT	the
results	NNS	result
to	TO	to
spot	VV	spot
anomalies	NNS	anomaly
that	WDT	that
would	MD	would
suggest	VV	suggest
a	DT	a
hackedresult	NN	hackedresult
,	,	,
'	''	'
'	''	'
Mr.	NP	Mr.
Elias	NP	Elias
wrote	VVD	write
.	SENT	.
'	''	'
'	''	'
Most	JJS	most
of	IN	of
those	DT	those
discussions	NNS	discussion
have	VHP	have
remained	VVN	remain
private	JJ	private
,	,	,
while	IN	while
at	IN	at
least	JJS	least
one	PP	one
hasunfortunately	RB	hasunfortunately
been	VBN	be
the	DT	the
subject	NN	subject
of	IN	of
leaks	NNS	leak
,	,	,
'	''	'
'	''	'
he	PP	he
wrote	VVD	write
,	,	,
a	DT	a
reference	NN	reference
toconversations	NNS	toconversations
between	IN	between
Mr.	NP	Mr.
Podesta	NP	Podesta
and	CC	and
a	DT	a
group	NN	group
of	IN	of
experts	NNS	expert
that	WDT	that
included	VVD	include
J.	NP	J.
AlexHalderman	NP	AlexHalderman
,	,	,
a	DT	a
computer	NN	computer
scientist	NN	scientist
with	IN	with
deep	JJ	deep
experience	NN	experience
in	IN	in
the	DT	the
vulnerabilities	NNS	vulnerability
ofvoting	VVG	ofvoting
systems	NNS	system
.	SENT	.
Mr.	NP	Mr.
Halderman	NP	Halderman
recently	RB	recently
put	VVD	put
his	PP$	his
own	JJ	own
post	NN	post
on	IN	on
Medium	NP	Medium
,	,	,
describing	VVG	describe
his	PP$	his
suspicions	NNS	suspicion
andthe	NN	andthe
case	NN	case
for	IN	for
recounts	NNS	recount
.	SENT	.
But	CC	but
even	RB	even
he	PP	he
doubted	VVD	doubt
that	IN/that	that
the	DT	the
election	NN	election
result	NN	result
wouldchange	NN	wouldchange
.	SENT	.
URL	NN	URL
:	:	:
http	NN	http
:	:	:
//www	NN	//www
.	SENT	.
nytimes	NNS	nytimes
.	SENT	.
com/2016/11/26/us/politics/clinton-camp-will-join-push-for-wisconsin-ballot-recount	NN	com/2016/11/26/us/politics/clinton-camp-will-join-push-for-wisconsin-ballot-recount
.	SENT	.
html	NN	html
